time,n,slots,val_delta,eng_delta,pop_avg,tolerance,seed,returncode,time_sec
1000,1000,5,0.2,0.2,50,100,42,0,11.59
1000,1000,5,0.2,0.2,50,100,101,0,15.811
1000,1000,5,0.2,0.2,50,100,211,1,200.466
1000,1000,5,0.2,0.2,50,100,307,0,17.773
1000,1000,5,0.2,0.2,50,100,409,1,184.125
1000,1000,5,0.2,0.2,50,100,523,0,176.127
1000,1000,5,0.2,0.2,50,100,659,0,43.997
